workflow,sourceWorkflow,sheet,order,task,description,targetDays,taskType,reviewType,assignee,dependentOn,dependents
Hosted Assess (NEW),Hosted Assess,Hosted Assess,1,Provide the Local Information Pack,Synthetic workflow template row for public demonstration.,,Action,,Research Coordinator,,
Hosted Assess (NEW),Hosted Assess,Hosted Assess,2,Provide date Trust invited and selected,Synthetic workflow template row for public demonstration.,,Action,,Research Coordinator,,
Hosted Assess (NEW),Hosted Assess,Hosted Assess,3,Upload Documents received to date,Synthetic workflow template row for public demonstration.,,Documentation,,Research Office Administrator,,
Hosted Assess (NEW),Hosted Assess,Hosted Assess,4,EPSC,Synthetic workflow template row for public demonstration.,4,Action,,Research Office Administrator,,
Hosted Assess (NEW),Hosted Assess,Hosted Assess,5,PI GCP,Synthetic workflow template row for public demonstration.,7,Action,,Research Office Administrator,,
Hosted Assess (NEW),Hosted Assess,Hosted Assess,6,Contact Labs,Synthetic workflow template row for public demonstration.,7,Action,Trust Labs,Research Coordinator,,
Hosted Assess (NEW),Hosted Assess,Hosted Assess,7,Contact Imaging,Synthetic workflow template row for public demonstration.,7,Action,Radiology,Research Coordinator,,
Hosted Assess (NEW),Hosted Assess,Hosted Assess,8,Contact Pharmacy,Synthetic workflow template row for public demonstration.,7,Action,Pharmacy,Research Coordinator,,
Hosted Assess (NEW),Hosted Assess,Hosted Assess,9,Contact Research & Innovation Biospecimen Service (RIBs),Synthetic workflow template row for public demonstration.,7,Action,Biobank,Research Coordinator,,
Hosted Assess (NEW),Hosted Assess,Hosted Assess,10,Contact CRF,Synthetic workflow template row for public demonstration.,7,Action,CRF,Research Coordinator,,
Hosted Assess (NEW),Hosted Assess,Hosted Assess,11,Contact Ophthalmic Imaging,Synthetic workflow template row for public demonstration.,7,Action,Ophthalmic Imaging,Research Coordinator,,
Hosted Assess (NEW),Hosted Assess,Hosted Assess,12,Contact Ophthalmic Support,Synthetic workflow template row for public demonstration.,7,Action,Ophthamology,Research Coordinator,,
Hosted Assess (NEW),Hosted Assess,Hosted Assess,13,Send Hive build requirements,Synthetic workflow template row for public demonstration.,14,Action,Clinical Trial,Research Coordinator,,
Hosted Assess (NEW),Hosted Assess,Hosted Assess,14,CRF application form received and recorded on tracker,Synthetic workflow template row for public demonstration.,7,Documentation,CRF,CRF Administrator,,
