Project Code,Project Status,Study Type,Workflow,Task Name,Task Comment,Target Days to Complete,Date Site Selected,Date HRA approval,Date Created,Start Date,Due Date,Completion Date,On time or Late,Days to completion,Days active (if not complete),Task Status
D0001,Pending,Basic science study involving procedures with human participants,Hosted Arrange (NEW),"SoE/SoECAT or Costing Template received, EPR record created & documents uploaded",Synthetic completed task for demonstration data.,,45897,45905,45910,45911,,45918,On Time,7,,Complete
D0001,Pending,Basic science study involving procedures with human participants,Hosted Arrange (NEW),Finance Review,Synthetic pending task awaiting next workflow action.,7,45897,45905,45915,45917,45924,,,,300,Pending
D0001,Pending,Basic science study involving procedures with human participants,Hosted Arrange (NEW),HRA Approval Letter,Synthetic pending task awaiting next workflow action.,21,45897,45905,45921,45921,45942,,,,296,Pending
D0001,Pending,Basic science study involving procedures with human participants,Hosted Arrange (NEW),Check if study is adopted,Synthetic completed task for demonstration data.,14,45897,45905,45918,45918,45932,45919,On Time,1,,Complete
D0001,Pending,Basic science study involving procedures with human participants,Hosted Arrange (NEW),Check qualifications of research team,Synthetic completed task for demonstration data.,7,45897,45905,45922,45924,45931,45933,Late,9,,Complete
D0001,Pending,Basic science study involving procedures with human participants,Hosted Arrange (NEW),Receipt of clinical director notification,Synthetic completed task for demonstration data.,2,45897,45905,45920,45921,45923,45926,Late,5,,Complete
D0001,Pending,Basic science study involving procedures with human participants,Hosted Arrange (NEW),RIBs - capacity and capability,Synthetic completed task for demonstration data.,7,45897,45905,45919,45922,45929,45960,Late,38,,Complete
D0001,Pending,Basic science study involving procedures with human participants,Hosted Arrange (NEW),Labs - capacity and capability,Synthetic completed task for demonstration data.,7,45897,45905,45925,45927,45934,45960,Late,33,,Complete
D0001,Pending,Basic science study involving procedures with human participants,Hosted Arrange (NEW),CRF - Capacity and capability,Synthetic completed task for demonstration data.,7,45897,45905,45928,45930,45937,45960,Late,30,,Complete
D0001,Pending,Basic science study involving procedures with human participants,Hosted Arrange (NEW),Pharmacy Technical Green Light,Synthetic pending task awaiting next workflow action.,21,45897,45905,45927,45930,45951,,,,287,Pending
D0001,Pending,Basic science study involving procedures with human participants,Hosted Arrange (NEW),Ophthalmic Imaging - capacity and capability,Synthetic completed task for demonstration data.,7,45897,45905,45918,45918,45925,45960,Late,42,,Complete
D0001,Pending,Basic science study involving procedures with human participants,Hosted Arrange (NEW),Ophthalmic Support - capacity and capability,Synthetic completed task for demonstration data.,7,45897,45905,45922,45925,45932,45960,Late,35,,Complete
D0001,Pending,Basic science study involving procedures with human participants,Hosted Arrange (NEW),Imaging green light,Synthetic active task; completion date intentionally unavailable.,7,45897,45905,45932,45934,45941,,,,283,Active
D0001,Pending,Basic science study involving procedures with human participants,Hosted Arrange (NEW),Ionising Radiation Review,Synthetic completed task for demonstration data.,7,45897,45905,45925,45926,45933,45969,Late,43,,Complete
D0001,Pending,Basic science study involving procedures with human participants,Hosted Arrange (NEW),Hive build validated (Hive Analyst),Synthetic completed task for demonstration data.,7,45897,45905,45928,45930,45937,45931,On Time,1,,Complete
D0001,Pending,Basic science study involving procedures with human participants,Hosted Arrange (NEW),Hive build validated (R&I Builder),Synthetic active task; completion date intentionally unavailable.,7,45897,45905,45928,45931,45938,,,,286,Active
D0001,Pending,Basic science study involving procedures with human participants,Hosted Arrange (NEW),Complete the technical validation for the R&I builder’s work,Synthetic completed task for demonstration data.,7,45897,45905,45934,45936,45943,45936,On Time,0,,Complete
D0001,Pending,Basic science study involving procedures with human participants,Hosted Arrange (NEW),Final contract or OID review (including costs/targets agreed incorporated),Synthetic completed task for demonstration data.,7,45897,45905,45934,45934,45941,45950,Late,16,,Complete
